speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
Rufus,あったぞ！ オーブだ！,It's here! The orb!,,1,1,1251,1,,
Rufus,すげーよ！ この輝き…,Amazing! Look at that glow!,,1,2,1251,2,,
Rufus,お前ら もっと喜んだらどうだよ！,"Hey, isn't anybody else excited about
this?",,1,3,1251,5,,
Alicia,ええ…,I am...,,1,4,1251,29,,
Lezard,それはドラゴンオーブではありません地〓の乱れにより生じる封印石です,"That is not the Dragon Orb. It is a
sealstone formed by a geological anomaly.",,1,5,1251,3,,
Rufus,…何だよ そりゃ？,And what's that?,,1,6,1251,8,,
Lezard,精気の〓です,A mass of energy.,,1,7,1251,7,,
Lezard,本来 常人には見る事も〓る事もできないはずの非物〓ですが <PART> ――,"It is a substance without matter,
normally impalpable and invisible
to human senses.",,1,8,1251,6,,
Silmeria,おそらく私の精神に呼応して目視が可能な光を放っているんでしょう,"It resonates with my spiritual energy,
causing it to radiate visible light.",,1,9,1251,9,,
Silmeria,大地を支える〓グドラシルの根から放たれる力を〓収し 光に変えたのが光子,"Photons convert energy absorbed from
the roots of the world tree, Yggdrasil,
to light.",,1,10,1251,12,,
Silmeria,封印石は〓グドラシルの根から〓れ出て〓まった いわば〓のようなものね,"Sealstones are residue formed from
the hardened ""sap"" that drips from
Yggdrasil's roots.",,1,11,1251,11,,
Rufus,〓グドラシルのカスって事か…,You mean like amber from Yggdrasil...,,1,12,1251,10,,
Lezard,カスとはいえ封印石は安置された場に力を与えます,"Call it amber if you will. A sealstone
exerts power over the area it is placed.",,1,13,1251,13,,
Lezard,この場所と 周〓一〓に縁のある敵の動きを〓えてくれるでしょう,"It suppresses the actions of enemies
bound to this location and the
surrounding areas.",,1,14,1251,14,,
Rufus,じゃあ持って歩けばお守りになるのか？,"Then, how about if we take it with us
for protection?",,1,15,1251,15,,
Lezard,〓えられるのは敵ばかりではありません持つ者も何らかの影〓を受けるでしょう,"Sealstones don't just affect enemies.
The bearer may also be subject to some change.",,1,16,1251,16,,
Lezard,仮にルーファス殿が持つのなら行動を共にする我々にも です,"If you were to carry it, Sir Rufus, then
the effects would be felt by all of us.",,1,17,1251,17,,
Rufus,…どんな影〓だよ？,What kind of effects?,,1,18,1251,18,,
Lezard,さあ そればかりは…やってみなければわかりません,"I'm afraid that's just it...
One cannot know until one tries.",,1,19,1251,19,,
Dylan,ドラゴンオーブを守護する一族はこの封印石の力を熟知していたはずだ,"The tribe that guarded the Dragon Orb had
to be very familiar with these sealstones.",,1,20,1251,20,,
Rufus,その知恵でもって ドラゴンオーブを安置する神殿を〓てたってのか…,"So, they used that knowledge in building
palaces to keep the Dragon Orb safe...",,1,21,1251,21,,
Rufus,やっぱり持ってって損はなさそうだな,"Sounds like it wouldn't hurt to take it
with us.",,1,22,1251,22,,
Silmeria,途中で捨てる事もできなければ永遠に持ち続ける事も不可能 <PART> ――,"Sealstones cannot be disposed of, nor
can they be held onto forever.",,1,23,1251,23,,
Silmeria,いずれ大地を支える力に〓し潰される事になるでしょうね,"At some point, their world-sustaining
power will crush the holder.",,1,24,1251,24,,
Alicia,…ええ,Umm...,,1,25,1251,26,,
Rufus,なんだよ… シルメリアも意地悪だな,"Real funny... Thanks a lot, Silmeria.",,1,26,1251,27,,
Silmeria,〓り所となる〓〓から〓〓へ〓す間は運ぶ者がその〓〓代わりになる,"During the process of transferring from
a dais to another dais, the carrier acts
as a base.",,1,27,1251,28,,
Silmeria,封印石は絶えず〓り所を必要とする,Sealstones constantly require a base.,,1,28,1251,30,,
Rufus,要するに俺じゃ無理だって事だろ？初めからそう言やいいのに…,"Alright, so I can't handle it. You could
have said that from the beginning, y'know?",,1,29,1251,31,,
Rufus,さあ どうすんのか？〓断は任せたぜ,"Okay, what now?
It's your call.",,1,30,1251,32,,
