speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
Rufus,い いや…,"Er, nothing...",,1,2,1247,3,,
Rufus,〓〓には何も〓ってないぜここはシルメリアの出番だろ…,"There's nothing on the dais. I guess
this is where we call in Silmeria.",,1,3,1247,38,,
Lezard,実はもう一人 仲間がいるのです,"You see, there is another ally in our
ranks...",,2,1,1247,5,,
Leone,ふ～ん…,Hm?,,2,2,1247,6,,
Arngrim,何だと！？ 今までコソコソ隠れてやがったのか！,"What's going on? Have you been hiding
somethin' from us?",,2,3,1247,7,,
Dylan,静かにしてろッ！,You will be quiet!,,2,4,1247,8,,
Alicia,…シルメリア？,Silmeria?,,2,5,1247,9,,
Alicia,早くオブシェクトリーディングを <PART> ――,We need you for object reading <PART> ----,,2,6,1247,10,,
Lezard,精神集中を〓げているようですもう少し離れましょう,"Her spiritual concentration appears to
be blocked. Give her space.",,2,7,1247,11,,
Lezard,オブシェクトリーディングといって〓〓に宿る思念を〓み取っているのです,"It's called ""object reading."" She is
deciphering psychic energy in the dais.",,2,8,1247,12,,
Silmeria,オーブはヴィルノアに運ばれてるわ,The orb has been taken to Villnore.,,2,9,1247,13,,
Rufus,…結構 遠いな,That's a long way from here.,,2,10,1247,14,,
Leone,私 レオーネ <PART> ――,My name is Leone.,,2,11,1247,33,,
Leone,さっきからご一緒させていただいてるわ,We've been tagging along for a while.,,2,12,1247,16,,
Silmeria,シルメリアよ,I'm Silmeria.,,2,13,1247,17,,
Arngrim,…さっきの女と別人なのか！？,So she's not the same girl as before?,,2,14,1247,18,,
Leone,多重人格者でしょう？一つの肉体に〓数の魂が宿るという <PART> ――,"It's like multiple personalities, right?
Souls sharing a single body?",,2,15,1247,19,,
Leone,聞いた事があるわ見るのは初めてだけど…,"I've heard about it, but never actually
seen it until now.",,2,16,1247,20,,
Silmeria,…そんなところよ,It's something like that.,,2,17,1247,34,,
Arngrim,へ～ぇ…,"Well, whaddya know?",,2,18,1247,35,,
Silmeria,ここには目ぼしい宝はなさそうだとんだ〓労だったな,"You're probably wasting your time
looking for treasure around here.",,2,19,1247,22,,
Silmeria,ではご機嫌よう…,"Well, good luck.",,2,20,1247,23,,
Leone,ちょっといい？,"Oh, just one thing.",,2,21,1247,36,,
Leone,オーブって ドラゴンオーブの事？,"By ""orb,"" you mean the Dragon Orb?",,2,22,1247,30,,
Silmeria,…だったら？,And if I do?,,2,23,1247,37,,
Leone,そんな大それたものに興味はないけどこの先もご一緒していいかしら？,"Well, we don't need anything that lofty,
but could we come along?",,2,24,1247,25,,
Leone,オーブの周りには盗〓者の目を〓く宝物が隠されてるって聞いたわ,"I've heard the lavish treasures around the orb
make plunderers forget what they came for.",,2,25,1247,26,,
Rufus,…いいんじゃないの？,I don't see a problem.,,2,26,1247,27,,
Silmeria,〓気を許すな…〓,(Watch your back.),,2,27,1247,28,,
Alicia,えっ！？,Huh!?,,2,28,1247,29,1357,
