scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details
1,1,1279,2752,13368,,,,,Dylan <PART> has joined the party.,ディラン <PART> が仲間に加わりました,,
1,2,1279,2753,13856,,,,,Lezard <PART> has joined the party.,レザード <PART> が仲間に加わりました,,
1,3,1279,2754,14388,,,,,Leone <PART> has joined the party.,レオーネ <PART> が仲間に加わりました,,
1,4,1279,2755,14876,,,,,Arngrim <PART> has joined the party.,アリューゼ <PART> が仲間に加わりました,,
1,5,1279,2756,15652,,,,,Mithra <PART> has joined the party.,ミトラ <PART> が仲間に加わりました,,
1,6,1279,2757,16376,,,,,Lenneth <PART> has joined the party.,レナス <PART> が仲間に加わりました,,
1,7,1279,2758,16764,,,,,Silmeria <PART> has joined the party.,シルメリア <PART> が仲間に加わりました,,
1,8,1279,2759,17092,,,,,Brahms <PART> has joined the party.,ブラムス <PART> が仲間に加わりました,,
1,9,1279,2760,17480,,,,,,アーリィ <PART> が仲間に加わりました,,
2,1,1279,2309,23040,,,,,ERRORv,ERR0R！！（v190）,,
2,2,1279,2310,23176,,,,,ERRORv,ERR0R！！（v191）,,
2,3,1279,2311,23312,,,,,ERRORv,ERR0R！！（v191）,,
3,1,1279,3,,,,,,Acquired <PART> Ghoul Powder,グールパウダー <PART> を手に入れた,,not displayed by the event script
3,2,1279,4,,,,,,Acquired <PART> Antique Pendant,ふるびたペンダント <PART> を手に入れた,,not displayed by the event script
3,3,1279,5,,,,,,Acquired <PART> Ghoul Powder,グールパウダー <PART> を手に入れた,,not displayed by the event script
3,4,1279,6,,,,,,Acquired <PART> Dragon Orb,ドラゴンオーブ <PART> を手に入れた,,not displayed by the event script
3,5,1279,7,,,,,,Acquired <PART> Water Mirror,水鏡 <PART> を手に入れた,,not displayed by the event script
3,6,1279,2740,,,,,,EVENT_MAP,イベントマップ,,not displayed by the event script
