scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details
1,1,1225,2752,25284,,,,,Dylan <PART> has joined the party.,ディラン <PART> が仲間に加わりました,,
1,2,1225,2753,25772,,,,,Lezard <PART> has joined the party.,レザード <PART> が仲間に加わりました,,
1,3,1225,2754,26304,,,,,Leone <PART> has joined the party.,レオーネ <PART> が仲間に加わりました,,
1,4,1225,2755,26792,,,,,Arngrim <PART> has joined the party.,アリューゼ <PART> が仲間に加わりました,,
1,5,1225,2756,27568,,,,,Mithra <PART> has joined the party.,ミトラ <PART> が仲間に加わりました,,
1,6,1225,2757,28292,,,,,Lenneth <PART> has joined the party.,レナス <PART> が仲間に加わりました,,
1,7,1225,2758,28680,,,,,Silmeria <PART> has joined the party.,シルメリア <PART> が仲間に加わりました,,
1,8,1225,2759,29008,,,,,Brahms <PART> has joined the party.,ブラムス <PART> が仲間に加わりました,,
1,9,1225,2760,29396,,,,,,アーリィ <PART> が仲間に加わりました,,
2,1,1225,2366,35532,,,,,ERRORv,ERR0R！！（v190）,,
2,2,1225,2367,35668,,,,,ERRORv,ERR0R！！（v191）,,
2,3,1225,2368,35804,,,,,ERRORv,ERR0R！！（v191）,,
3,1,1225,3,,,,,,Acquired <PART> Ghoul Powder,グールパウダー <PART> を手に入れた,,not displayed by the event script
3,2,1225,4,,,,,,Acquired <PART> Antique Pendant,ふるびたペンダント <PART> を手に入れた,,not displayed by the event script
3,3,1225,5,,,,,,Acquired <PART> Ghoul Powder,グールパウダー <PART> を手に入れた,,not displayed by the event script
3,4,1225,6,,,,,,Acquired <PART> Dragon Orb,ドラゴンオーブ <PART> を手に入れた,,not displayed by the event script
3,5,1225,7,,,,,,Acquired <PART> Water Mirror,水鏡 <PART> を手に入れた,,not displayed by the event script
3,6,1225,2372,,,,,,EVENT_MAP,イベントマップ,,not displayed by the event script
