scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details
1,1,245,2,840,,,,,A deadly presence lurks within...,この奥から〓ならぬ気配を感じる…,,
1,2,245,5,1600,,,,,"Springs <PART> Springs are where sealstones stored in
Yggdrasil's earth roots can be withdrawn. <PART> Storing a sealstone costs magic crystals and
requires it be restored to the spring.
However, once stored, a sealstone can be
withdrawn from any spring in the world.",〓 <PART> 〓とは、ユグドラシルの地脈に〓〓した封印石を引き出す事ができる場所です。 <PART> 封印石を〓〓するには、魔〓石を〓〓して〓〓を〓う〓〓があります。ですが、一〓〓〓を〓った封印石は、その後は世界中の〓から自〓に引き出〓るようになります。,,
1,3,245,6,1640,,,,,"Sealstone effects have a critical impact.
Restoring sealstones according to play
styles and dungeons is a key to overall
game strategy.",封印石の〓果は絶大です。プレイスタイルやダンジ〓ンの〓〓に〓した封印石を〓〓する〓とが、ゲーム全〓の〓〓の〓となります。,,
2,1,245,1,,,,,,Head inward,奥へ,,not displayed by the event script
2,2,245,3,,,,,,Continue.,奥へ〓く,,not displayed by the event script
2,3,245,4,,,,,,Leave.,やめる,,not displayed by the event script
2,4,245,353,,,,,,Serdberg Mountain Ruins,セルドベルグ山岳遺跡,,not displayed by the event script
2,5,245,2741,,,,,,Acquired <PART> Dwarf Tincture,〓人の霊薬 <PART> を手に入れた,,not displayed by the event script
2,6,245,2742,,,,,,Acquired <PART> Fireproof Trinket,〓〓の護〓 <PART> を手に入れた,,not displayed by the event script
2,7,245,2743,,,,,,Acquired <PART> Metal Greaves,メタルグリーブ <PART> を手に入れた,,not displayed by the event script
